season,winner_id,loser_id,w_win_pct,l_win_pct,w_off_rtg,l_off_rtg,w_def_rtg,l_def_rtg,w_net_rtg,l_net_rtg,w_pace,l_pace,w_pie,l_pie
2015-16,1610612737,1610612738,0.585,0.585,104.6,105.8,100.8,102.5,3.9,3.3,97.63,99.43,0.528,0.52
2015-16,1610612739,1610612737,0.695,0.585,110.2,104.6,103.9,100.8,6.3,3.9,93.82,97.63,0.528,0.528
2015-16,1610612739,1610612744,0.695,0.89,110.2,113.5,103.9,102.8,6.3,10.6,93.82,100.24,0.528,0.567
2015-16,1610612739,1610612761,0.695,0.683,110.2,109.3,103.9,104.8,6.3,4.4,93.82,93.35,0.528,0.525
2015-16,1610612739,1610612765,0.695,0.537,110.2,105.3,103.9,104.9,6.3,0.3,93.82,95.75,0.528,0.486
2015-16,1610612760,1610612742,0.671,0.512,112.1,105.5,104.8,105.9,7.4,-0.4,97.54,95.34,0.546,0.503
2015-16,1610612744,1610612745,0.89,0.5,113.5,107.3,102.8,107.3,10.6,0.0,100.24,98.42,0.567,0.49
2015-16,1610612744,1610612757,0.89,0.537,113.5,107.6,102.8,106.8,10.6,0.8,100.24,97.06,0.567,0.493
2015-16,1610612744,1610612760,0.89,0.671,113.5,112.1,102.8,104.8,10.6,7.4,100.24,97.54,0.567,0.546
2015-16,1610612757,1610612746,0.537,0.646,107.6,107.2,106.8,102.7,0.8,4.5,97.06,96.81,0.493,0.533
2015-16,1610612761,1610612748,0.683,0.585,109.3,105.5,104.8,103.7,4.4,1.7,93.35,94.14,0.525,0.525
2015-16,1610612748,1610612766,0.585,0.585,105.5,106.4,103.7,103.7,1.7,2.7,94.14,96.24,0.525,0.511
2015-16,1610612761,1610612754,0.683,0.549,109.3,103.8,104.8,102.2,4.4,1.6,93.35,97.35,0.525,0.518
2015-16,1610612760,1610612759,0.671,0.817,112.1,109.3,104.8,98.2,7.4,11.1,97.54,94.54,0.546,0.578
2015-16,1610612759,1610612763,0.817,0.512,109.3,104.7,98.2,107.1,11.1,-2.4,94.54,93.95,0.578,0.483
2016-17,1610612764,1610612737,0.598,0.524,110.4,104.5,108.8,105.2,1.7,-0.7,97.94,97.76,0.511,0.506
2016-17,1610612739,1610612738,0.622,0.646,112.8,110.6,109.7,108.0,3.1,2.6,96.74,97.21,0.51,0.514
2016-17,1610612738,1610612741,0.646,0.5,110.6,106.5,108.0,106.2,2.6,0.3,97.21,96.02,0.514,0.504
2016-17,1610612738,1610612764,0.646,0.598,110.6,110.4,108.0,108.8,2.6,1.7,97.21,97.94,0.514,0.511
2016-17,1610612744,1610612739,0.817,0.622,114.8,112.8,103.4,109.7,11.4,3.1,100.37,96.74,0.579,0.51
2016-17,1610612739,1610612754,0.622,0.512,112.8,107.9,109.7,108.1,3.1,-0.2,96.74,96.59,0.51,0.505
2016-17,1610612739,1610612761,0.622,0.622,112.8,111.4,109.7,107.1,3.1,4.3,96.74,95.41,0.51,0.516
2016-17,1610612744,1610612757,0.817,0.5,114.8,109.4,103.4,110.0,11.4,-0.6,100.37,97.38,0.579,0.493
2016-17,1610612744,1610612759,0.817,0.744,114.8,110.3,103.4,102.9,11.4,7.4,100.37,94.86,0.579,0.551
2016-17,1610612744,1610612762,0.817,0.622,114.8,109.0,103.4,104.7,11.4,4.3,100.37,92.09,0.579,0.534
