batting_avg,ops,obp,slg,runs_scored,era,whip,k_per9,bb_per9,sp_era,bullpen_era,fip,runs_allowed,run_diff,team_id,team_name,wins,losses,win_pct,park_factor,win_pct_last10,run_diff_last15
0.248,0.74,0.328,0.412,386.0,4.93,1.44,8.53,3.83,4.33,4.0,4.82,437.0,-51.0,133,Athletics,40,43,0.482,0.97,0.442,-0.67
0.258,0.749,0.335,0.414,420.0,4.15,1.3,9.22,3.64,3.66,4.0,3.22,397.0,23.0,134,Pittsburgh Pirates,41,42,0.494,1.0,0.393,0.07
0.221,0.663,0.297,0.366,319.0,3.91,1.3,8.37,3.54,3.9,4.0,4.45,330.0,-11.0,135,San Diego Padres,43,38,0.531,0.93,0.601,0.33
0.23,0.694,0.311,0.383,337.0,3.68,1.18,8.9,2.54,3.8,4.0,3.45,332.0,5.0,136,Seattle Mariners,42,42,0.5,0.97,0.412,-1.53
0.255,0.726,0.308,0.418,334.0,4.35,1.37,8.0,3.86,3.61,4.0,3.57,385.0,-51.0,137,San Francisco Giants,34,48,0.415,0.94,0.501,0.4
0.247,0.719,0.325,0.394,360.0,4.3,1.35,7.51,3.35,3.74,4.0,3.86,369.0,-9.0,138,St. Louis Cardinals,42,38,0.525,0.98,0.327,-1.4
0.258,0.727,0.336,0.391,361.0,3.81,1.21,7.97,2.86,2.64,4.0,3.37,341.0,20.0,139,Tampa Bay Rays,47,33,0.588,0.97,0.62,0.53
0.244,0.712,0.32,0.392,337.0,3.98,1.25,8.66,3.04,3.86,4.0,3.74,346.0,-9.0,140,Texas Rangers,41,42,0.494,1.07,0.598,-1.67
0.249,0.703,0.311,0.392,341.0,4.17,1.32,8.93,3.64,3.73,4.0,3.12,373.0,-32.0,141,Toronto Blue Jays,39,44,0.47,0.99,0.325,-1.13
0.247,0.733,0.322,0.411,409.0,4.89,1.41,8.23,3.74,3.18,4.0,2.81,440.0,-31.0,142,Minnesota Twins,39,45,0.464,1.0,0.455,-0.07
0.235,0.7,0.301,0.399,363.0,4.08,1.29,9.62,2.77,2.98,4.0,2.71,362.0,1.0,143,Philadelphia Phillies,46,37,0.554,1.02,0.635,1.0
0.248,0.723,0.312,0.411,388.0,3.42,1.21,8.69,3.37,3.15,4.0,3.39,299.0,89.0,144,Atlanta Braves,49,32,0.605,1.02,0.301,-2.07
0.242,0.739,0.322,0.417,388.0,4.25,1.33,8.44,3.88,3.34,4.0,3.43,369.0,19.0,145,Chicago White Sox,43,38,0.531,0.98,0.582,0.67
0.247,0.714,0.324,0.39,358.0,3.96,1.24,8.72,3.5,3.35,4.0,3.64,347.0,11.0,146,Miami Marlins,44,39,0.53,0.96,0.805,1.27
0.241,0.756,0.325,0.431,405.0,3.34,1.19,8.81,3.1,3.03,4.0,3.27,303.0,102.0,147,New York Yankees,48,34,0.585,1.01,0.398,-0.07
0.253,0.73,0.337,0.393,415.0,3.42,1.19,9.9,3.4,1.45,4.0,1.84,294.0,121.0,158,Milwaukee Brewers,50,30,0.625,1.01,0.641,1.13
0.24,0.717,0.319,0.398,382.0,4.63,1.41,8.93,4.61,3.61,4.0,3.56,421.0,-39.0,108,Los Angeles Angels,35,49,0.417,0.99,0.58,0.2
0.239,0.694,0.308,0.386,349.0,4.32,1.3,7.02,3.07,4.08,4.0,4.4,376.0,-27.0,109,Arizona Diamondbacks,41,41,0.5,0.96,0.397,-0.33
0.24,0.72,0.32,0.4,388.0,4.35,1.38,8.12,3.53,3.98,4.0,3.94,412.0,-24.0,110,Baltimore Orioles,39,45,0.464,0.97,0.428,0.4
0.244,0.7,0.313,0.387,323.0,3.73,1.25,8.59,2.99,3.22,4.0,3.73,319.0,4.0,111,Boston Red Sox,35,46,0.432,1.05,0.581,1.2
0.242,0.74,0.336,0.404,409.0,4.27,1.25,7.93,3.14,4.59,4.0,4.8,370.0,39.0,112,Chicago Cubs,45,38,0.542,1.04,0.69,2.73
0.227,0.7,0.31,0.39,346.0,4.51,1.45,8.1,4.49,3.12,4.0,4.1,392.0,-46.0,113,Cincinnati Reds,39,42,0.481,1.08,0.498,0.47
0.227,0.673,0.31,0.363,325.0,3.77,1.26,9.33,3.35,3.66,4.0,4.04,334.0,-9.0,114,Cleveland Guardians,43,40,0.518,0.98,0.413,-0.53
0.255,0.741,0.324,0.417,385.0,5.51,1.51,7.25,3.41,4.8,4.0,5.32,473.0,-88.0,115,Colorado Rockies,33,50,0.398,1.15,0.531,0.4
0.235,0.708,0.314,0.394,339.0,3.8,1.25,8.29,3.13,3.73,4.0,4.01,340.0,-1.0,116,Detroit Tigers,35,48,0.422,1.0,0.44,1.27
0.243,0.725,0.316,0.409,380.0,4.77,1.39,8.77,4.4,5.48,4.0,5.57,424.0,-44.0,117,Houston Astros,41,44,0.482,1.02,0.655,-0.4
0.244,0.707,0.316,0.391,352.0,4.84,1.43,7.9,3.85,3.71,4.0,3.85,423.0,-71.0,118,Kansas City Royals,34,50,0.405,0.99,0.355,-1.4
0.263,0.788,0.346,0.442,439.0,3.45,1.11,8.95,2.97,2.69,4.0,3.5,289.0,150.0,119,Los Angeles Dodgers,53,30,0.639,0.95,0.666,0.6
0.246,0.741,0.319,0.422,443.0,4.7,1.4,7.89,3.57,2.93,4.0,4.2,440.0,3.0,120,Washington Nationals,42,42,0.5,0.96,0.416,-0.27
0.231,0.673,0.298,0.375,335.0,4.11,1.28,9.22,3.58,4.28,4.0,3.93,379.0,-44.0,121,New York Mets,35,48,0.422,0.99,0.3,-1.73
