GAME_ID,GAME_DATE,TEAM_ID,TEAM_NAME,MATCHUP,WL,PTS
0042000406,2021-07-20,1610612756,Phoenix Suns,PHX @ MIL,L,98
0042000406,2021-07-20,1610612749,Milwaukee Bucks,MIL vs. PHX,W,105
0042000405,2021-07-17,1610612756,Phoenix Suns,PHX vs. MIL,L,119
0042000405,2021-07-17,1610612749,Milwaukee Bucks,MIL @ PHX,W,123
0042000404,2021-07-14,1610612749,Milwaukee Bucks,MIL vs. PHX,W,109
0042000404,2021-07-14,1610612756,Phoenix Suns,PHX @ MIL,L,103
0042000403,2021-07-11,1610612749,Milwaukee Bucks,MIL vs. PHX,W,120
0042000403,2021-07-11,1610612756,Phoenix Suns,PHX @ MIL,L,100
0042000402,2021-07-08,1610612756,Phoenix Suns,PHX vs. MIL,W,118
0042000402,2021-07-08,1610612749,Milwaukee Bucks,MIL @ PHX,L,108
0042000401,2021-07-06,1610612756,Phoenix Suns,PHX vs. MIL,W,118
0042000401,2021-07-06,1610612749,Milwaukee Bucks,MIL @ PHX,L,105
0042000306,2021-07-03,1610612749,Milwaukee Bucks,MIL @ ATL,W,118
0042000306,2021-07-03,1610612737,Atlanta Hawks,ATL vs. MIL,L,107
0042000305,2021-07-01,1610612737,Atlanta Hawks,ATL @ MIL,L,112
0042000305,2021-07-01,1610612749,Milwaukee Bucks,MIL vs. ATL,W,123
0042000316,2021-06-30,1610612746,LA Clippers,LAC vs. PHX,L,103
0042000316,2021-06-30,1610612756,Phoenix Suns,PHX @ LAC,W,130
0042000304,2021-06-29,1610612749,Milwaukee Bucks,MIL @ ATL,L,88
0042000304,2021-06-29,1610612737,Atlanta Hawks,ATL vs. MIL,W,110
0042000315,2021-06-28,1610612756,Phoenix Suns,PHX vs. LAC,L,102
0042000315,2021-06-28,1610612746,LA Clippers,LAC @ PHX,W,116
0042000303,2021-06-27,1610612737,Atlanta Hawks,ATL vs. MIL,L,102
0042000303,2021-06-27,1610612749,Milwaukee Bucks,MIL @ ATL,W,113
0042000314,2021-06-26,1610612756,Phoenix Suns,PHX @ LAC,W,84
0042000314,2021-06-26,1610612746,LA Clippers,LAC vs. PHX,L,80
0042000302,2021-06-25,1610612737,Atlanta Hawks,ATL @ MIL,L,91
0042000302,2021-06-25,1610612749,Milwaukee Bucks,MIL vs. ATL,W,125
0042000313,2021-06-24,1610612756,Phoenix Suns,PHX @ LAC,L,92
0042000313,2021-06-24,1610612746,LA Clippers,LAC vs. PHX,W,106
