team_id,team_name,games_played,wins,losses,win_pct,off_rtg,def_rtg,net_rtg,pace,pie
1610612737,Atlanta Hawks,82,24,58,0.293,104.4,110.1,-5.7,98.76,0.468
1610612738,Boston Celtics,82,55,27,0.671,106.8,103.2,3.6,96.75,0.519
1610612751,Brooklyn Nets,82,28,54,0.341,106.1,109.7,-3.6,99.66,0.474
1610612766,Charlotte Hornets,82,36,46,0.439,109.0,109.0,-0.1,98.66,0.5
1610612741,Chicago Bulls,82,27,55,0.329,103.4,110.5,-7.0,98.65,0.453
1610612739,Cleveland Cavaliers,82,50,32,0.61,112.0,111.1,1.0,98.72,0.502
1610612742,Dallas Mavericks,82,24,58,0.293,105.4,108.4,-2.9,96.53,0.475
1610612743,Denver Nuggets,82,46,36,0.561,111.4,110.0,1.4,97.69,0.511
1610612765,Detroit Pistons,82,39,43,0.476,106.6,106.7,-0.1,96.75,0.489
1610612744,Golden State Warriors,82,58,24,0.707,112.8,106.8,5.9,100.35,0.554
1610612745,Houston Rockets,82,65,17,0.793,114.1,105.7,8.4,98.02,0.531
1610612754,Indiana Pacers,82,48,34,0.585,108.5,107.3,1.3,96.84,0.509
1610612746,LA Clippers,82,42,40,0.512,109.4,109.2,0.2,99.54,0.497
1610612747,Los Angeles Lakers,82,35,47,0.427,106.0,107.3,-1.3,100.9,0.491
1610612763,Memphis Grizzlies,82,22,60,0.268,103.6,110.4,-6.8,95.65,0.46
1610612748,Miami Heat,82,44,38,0.537,106.2,105.8,0.4,96.1,0.505
1610612749,Milwaukee Bucks,82,44,38,0.537,109.0,109.1,-0.2,97.03,0.502
1610612750,Minnesota Timberwolves,82,47,35,0.573,112.5,110.2,2.3,96.75,0.518
1610612740,New Orleans Pelicans,82,48,34,0.585,108.5,107.4,1.1,101.48,0.525
1610612752,New York Knicks,82,29,53,0.354,106.3,109.7,-3.4,97.64,0.481
1610612760,Oklahoma City Thunder,82,48,34,0.585,110.1,106.4,3.7,97.34,0.508
1610612753,Orlando Magic,82,25,57,0.305,104.7,109.4,-4.7,98.58,0.472
1610612755,Philadelphia 76ers,82,52,30,0.634,108.5,103.9,4.6,100.75,0.542
1610612756,Phoenix Suns,82,21,61,0.256,102.8,111.7,-9.0,101.14,0.442
1610612757,Portland Trail Blazers,82,49,33,0.598,108.4,105.7,2.7,97.11,0.51
1610612758,Sacramento Kings,82,27,55,0.329,103.1,110.4,-7.3,95.5,0.451
1610612759,San Antonio Spurs,82,47,35,0.573,107.1,104.1,3.0,95.7,0.525
1610612761,Toronto Raptors,82,59,23,0.72,113.0,105.3,7.7,98.02,0.538
1610612762,Utah Jazz,82,48,34,0.585,107.4,103.0,4.4,96.58,0.532
1610612764,Washington Wizards,82,43,39,0.524,108.1,107.7,0.4,97.67,0.509
